district,milking_cows_no,milking_buffaloes_no,cow_milk,buff_milk,total_milk_produced,area_(ha),prod_(mt),yield_kg/ha,laying_hen,laying_duck,hen_egg,duck_egg,total_egg,horses/asses,buff,mutton,chevon,pork_,chicken,duck_meat,total_meat,rabbit,sheeps_no,sheep_wool_produced,yak/nak/chauri,province
ACHHAM,5796.0,10381.0,3321.0,9010.0,12331.0,0.0,0.0,0.0,12096.0,143.0,1905.0,9.0,1914.0,95.0,1329.0,10.0,710.0,6.0,47.0,0.0,2102.0,0.0,3085.0,2400.0,0.0,Province 7
DOTI,15432.0,10381.0,7843.0,9010.0,16853.0,0.0,0.0,0.0,22999.0,80.0,3622.0,7.0,3629.0,252.0,1625.0,2.0,840.0,40.0,106.0,0.0,2613.0,432.0,662.0,491.0,0.0,Province 7
BAITADI,9845.0,12699.0,4641.0,10184.0,14825.0,0.0,0.0,0.0,3509.0,107.0,594.0,6.0,600.0,484.0,1727.0,1.0,730.0,12.0,14.0,0.0,2484.0,0.0,304.0,225.0,0.0,Province 7
DADELDHURA,13963.0,6108.0,7045.0,5301.0,12346.0,0.0,0.0,0.0,10131.0,205.0,1596.0,17.0,1613.0,241.0,1011.0,1.0,823.0,29.0,70.0,0.0,1934.0,0.0,315.0,234.0,0.0,Province 7
KAILALI,27758.0,41103.0,27905.0,36677.0,64582.0,0.0,0.0,0.0,277409.3,3418.0,16928.0,275.0,17203.0,0.0,5962.0,71.0,1480.0,469.0,1303.0,4.0,9289.0,0.0,21267.0,15801.0,0.0,Province 7
KANCHANPUR,20164.0,27812.0,23146.0,25876.0,49022.0,0.0,0.0,0.0,186108.0,1932.0,13483.0,155.0,13638.0,0.0,3816.0,27.0,850.0,360.0,1085.0,2.0,6140.0,0.0,7953.0,5909.0,0.0,Province 7
DANG,0.0,0.0,0.0,0.0,0.0,106.0,74.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Province 5
BANKE,0.0,0.0,0.0,0.0,0.0,27.0,41.0,1519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Province 5
BARDIYA,0.0,0.0,0.0,0.0,0.0,10.0,12.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Province 5
SANKHUWASABHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1646.0,41.0,958.0,509.0,302.0,1.0,3457.0,0.0,0.0,0.0,0.0,Province 1
RAMECHHAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,Province 3
